15,9450,4700,79
16,9450,10350,157
17,9450,16000,388
18,9450,21650,304
19,9450,27300,232
20,9450,32950,261
21,9450,38600,169
29,10000,40100,409
34,10000,44100,430
36,10000,48100,375
38,10000,52100,359
43,10550,4700,76
44,10550,10350,153
45,10550,16000,378
46,10550,21650,296
47,10550,27300,226
48,10550,32950,254
49,10550,38600,165
50,10800,50500,286
65,10878,893,240
67,11428,1993,256
68,11500,56100,359
69,11700,49050,442
70,11700,51950,436
71,11978,893,240
72,12000,44100,239
75,12600,47600,443
76,12600,50500,436
77,12600,53400,454
78,13500,49050,435
79,13500,51950,434
80,14400,47600,441
81,14400,50500,429
82,14400,53400,437
83,15000,44100,280
86,15300,46150,309
87,15300,49050,426
89,15300,51950,426
90,15300,54850,332
91,16200,47600,443
92,16200,50500,430
93,16200,53400,439
94,16750,56100,284
95,17100,49050,434
96,17100,51950,434
98,18000,44100,183
99,18000,47600,448
100,18000,50500,433
101,18000,53400,451
103,18719,42100,177
104,18900,49050,433
105,18900,51950,432
108,19800,50500,301
109,19950,4660,523
110,19950,5760,504
113,50550,2500,330
114,20500,9400,260
115,24700,9400,374
118,20500,14650,865
119,20500,19550,687
121,20500,20650,667
122,20500,25550,616
124,20500,26650,487
125,20500,31550,456
127,20500,32650,460
128,20500,37550,430
130,20500,38650,460
131,20500,40100,479
132,20500,44100,507
133,20500,48100,545
134,20500,52850,459
135,20500,55550,377
137,20500,56650,393
141,20500,74100,361
142,21050,4660,533
143,21050,5760,514
150,24700,5210,307
152,95450,2500,425
153,20500,62600,315
156,25772,893,227
157,26050,14100,708
159,26322,1993,244
160,20500,68600,444
161,20500,61600,339
163,26600,74100,597
164,26872,893,227
165,27150,14100,576
170,27776,9400,420
171,28326,5210,526
174,28876,9400,415
175,22700,9400,222
176,32050,14100,653
177,32050,74100,294
178,32600,0,169
179,32600,5210,417
180,32600,9400,431
183,33150,14100,564
184,33150,74100,278
186,35950,0,512
190,20500,35100,336
192,20500,29100,314
196,36500,12350,303
197,36500,14100,402
206,37050,0,512
209,36500,5760,227
210,38050,13550,565
211,38050,14650,619
212,38050,74100,355
216,38600,12348,320
218,38600,25550,570
220,38600,26650,570
221,38600,37550,572
223,38600,38650,572
224,38600,49550,573
226,38600,50650,573
227,38600,61550,579
229,38600,62650,579
231,36500,9950,252
232,39150,13550,735
233,39150,14650,788
234,39150,74100,395
248,36500,4660,331
249,43450,0,631
250,44600,74100,531
253,47695,0,590
256,20500,67600,372
259,50050,74100,304
260,50150,0,584
264,51150,74100,271
265,54200,2500,529
268,54050,0,759
280,55150,0,753
283,55500,13550,825
284,55500,14650,825
285,56050,74100,337
288,57950,2500,430
290,56600,25550,509
292,56600,26650,509
293,56600,37550,518
295,56600,38650,518
296,56600,49550,518
298,56600,50650,518
299,56600,61550,525
301,56600,62650,525
303,57700,13550,825
304,57700,14650,825
305,57150,74100,377
320,59050,0,733
322,60150,0,729
323,61700,2500,545
326,62675,74100,544
329,65450,2500,432
330,64050,0,725
332,65150,0,734
335,69200,2500,540
338,68675,74100,565
339,69050,0,779
341,70150,0,762
344,20500,13550,722
345,72950,2500,389
364,74050,0,772
365,73500,4150,251
366,73500,5250,235
367,73500,13550,826
368,73500,14650,826
372,74600,25550,523
374,74600,26650,523
375,74600,37550,530
377,74600,38650,530
378,74600,49550,530
380,74600,50650,530
381,74600,61550,538
383,74600,62650,538
384,74600,74100,695
385,75150,0,771
386,75700,4150,251
387,75700,5250,235
388,75700,13550,826
389,75700,14650,826
390,76700,2500,511
411,80450,2500,430
412,79050,0,762
414,80150,0,780
415,80600,74100,563
418,84200,2500,545
421,84050,0,736
423,85150,0,724
426,87950,2500,423
427,86600,74100,560
430,89050,0,722
432,90150,0,733
433,91700,2500,545
448,91500,13550,825
449,91500,14650,825
451,92600,25550,519
453,92600,26650,519
454,92600,37550,526
456,92600,38650,526
457,92600,49550,526
459,92600,50650,526
460,92600,61550,534
462,92600,62650,534
463,92600,74100,705
466,93700,13550,825
467,93700,14650,825
470,42100,0,545
471,94050,0,785
483,95150,0,763
486,41000,0,527
489,98600,74100,546
490,98975,0,492
492,36500,8850,215
494,98650,2500,321
496,101505,0,571
499,104050,74100,300
501,105150,74100,281
502,105200,0,615
504,106300,0,571
517,110050,0,612
518,109500,13550,773
519,109500,14650,773
520,110050,74100,348
523,110600,25550,524
525,110600,26650,524
526,110600,37550,533
528,110600,38650,533
529,110600,49550,533
531,110600,50650,533
532,110600,61550,540
534,110600,62650,540
536,111150,0,675
537,111700,13550,773
538,111700,14650,773
539,111150,74100,353
553,116050,0,799
556,117150,0,780
565,122050,0,514
566,122050,13550,570
567,122050,14650,722
568,122050,74100,278
572,74600,4150,257
577,123150,0,476
578,123150,13550,477
579,123150,14650,630
580,123150,74100,287
584,56600,13550,847
585,124600,0,544
586,74600,5250,241
589,126240,4700,403
590,125600,9400,373
599,56600,14650,847
600,128050,0,508
601,128050,74100,346
604,128600,25000,327
605,128600,26100,387
606,128600,27200,328
607,128600,37550,518
609,128600,38650,518
610,128600,49550,518
612,128600,50650,518
613,128600,61550,523
615,128600,62650,523
617,128720,9400,401
618,129150,0,468
619,129150,74100,332
621,74600,13550,848
622,129820,9400,352
623,129880,4700,384
632,132050,0,463
634,133150,0,485
635,74600,14650,848
636,133520,4700,382
637,133530,9400,355
641,134630,9400,392
642,92600,13550,846
643,136050,0,607
645,137150,0,648
646,137160,4700,407
647,137600,9400,374
651,140800,0,532
652,140800,4700,260
653,140800,9400,207
654,122600,5250,252
655,140800,13550,458
657,140800,14650,571
659,140800,19550,347
661,140800,20650,298
662,140800,25550,291
664,140800,26650,329
665,140800,32100,539
666,140800,37550,324
668,140800,38650,281
669,140800,43550,278
671,140800,44650,320
672,140800,50100,548
673,140800,55550,339
675,140800,56650,306
676,140800,61550,304
678,140800,62650,297
680,140800,74100,339
681,92600,14650,846
682,110600,13550,789
683,129150,14100,570
684,135150,14100,661
685,110600,14650,789
689,49050,0,438
690,100150,0,408
693,122600,9950,246
694,125600,14100,404
695,122600,4150,301
696,122600,8850,229
697,137600,14100,495
698,131600,14100,458
701,13500,46150,213
702,13500,54850,258
703,17100,46150,240
704,17100,54850,258
705,17750,40100,444
706,12750,40100,416
707,20500,44650,511
710,117150,74100,280
711,135150,74100,362
712,116050,74100,289
713,134050,74100,282
714,140800,67550,291
715,128050,14100,564
716,140800,68650,363
717,134050,14100,656
